suite,subset,comparison,baseline,p_raw,mean_log_diff,p_holm,significant_0.05
cec2017,overall,MVDO vs AOA,AOA,1.7530255365794332e-11,-0.9341728116142757,1.2271178756056033e-10,True
cec2017,overall,MVDO vs SCA,SCA,1.7530255365794332e-11,-1.188305002880153,1.2271178756056033e-10,True
cec2017,overall,MVDO vs WOA,WOA,1.7530255365794332e-11,-1.384979679991636,1.2271178756056033e-10,True
cec2017,overall,MVDO vs GWO,GWO,4.9414430394911455e-11,-0.5828362281096298,1.9765772157964582e-10,True
cec2017,overall,MVDO vs EO,EO,1.2195861509743862e-09,-0.46501367168652813,3.6587584529231585e-09,True
cec2017,overall,MVDO vs PSO,PSO,0.0014557390824399801,-0.096915482449463,0.0029114781648799603,True
cec2017,overall,MVDO vs SVOA,SVOA,0.0022183908927088463,-0.05081258762064784,0.0029114781648799603,True
