suite,subset,comparison,baseline,p_raw,mean_log_diff,p_holm,significant_0.05
cec2022,D20,MVDO vs WOA,WOA,0.000244140625,-1.3434906740609893,0.001708984375,True
cec2022,D20,MVDO vs AOA,AOA,0.001220703125,-0.9334094558868263,0.00732421875,True
cec2022,D20,MVDO vs SCA,SCA,0.00244140625,-1.03741411541447,0.01220703125,True
cec2022,D20,MVDO vs GWO,GWO,0.00244140625,-0.5784989505505272,0.01220703125,True
cec2022,D20,MVDO vs EO,EO,0.010498046875,-0.517307001776866,0.031494140625,True
cec2022,D20,MVDO vs SVOA,SVOA,0.2119140625,-0.148360725837165,0.423828125,False
cec2022,D20,MVDO vs PSO,PSO,0.51513671875,-0.046088388152568084,0.51513671875,False
