algorithm,wins,avg_rank,avg_log
MVDO,2,2.0833333333333335,0.9918568582212431
PSO,6,2.4166666666666665,-0.27082943586874436
SVOA,4,2.5833333333333335,0.7892254364303372
EO,0,3.75,1.714560490937809
GWO,0,4.75,1.83881512205822
SCA,0,5.833333333333333,2.3664172370034118
AOA,0,6.75,2.233346897385609
WOA,0,7.833333333333333,2.4877946766932655
