algorithm,wins,avg_rank,avg_log
MVDO,17,1.7241379310344827,4.044181939104915
PSO,7,2.4827586206896552,4.284295898910677
SVOA,4,2.7586206896551726,4.172928553069992
GWO,0,4.0344827586206895,4.65523578586329
EO,1,4.068965517241379,4.547324391621104
AOA,0,6.0,5.042235830128163
SCA,0,7.0344827586206895,5.261245266888991
WOA,0,7.896551724137931,5.427288089106642
