suite,subset,comparison,baseline,p_raw,mean_log_diff,p_holm,significant_0.05
cec2022,overall,MVDO vs WOA,WOA,5.960464477539063e-08,-1.419714246266506,4.172325134277344e-07,True
cec2022,overall,MVDO vs AOA,AOA,1.1324882507324219e-06,-1.0874497475255962,6.794929504394531e-06,True
cec2022,overall,MVDO vs GWO,GWO,3.2782554626464844e-06,-0.7127286071937521,1.6391277313232422e-05,True
cec2022,overall,MVDO vs SCA,SCA,5.245208740234375e-06,-1.2059872470983193,2.09808349609375e-05,True
cec2022,overall,MVDO vs EO,EO,3.1948089599609375e-05,-0.6200053172467158,9.584426879882812e-05,True
cec2022,overall,MVDO vs SVOA,SVOA,0.08899009227752686,0.02713534797687041,0.1779801845550537,False
cec2022,overall,MVDO vs PSO,PSO,0.7969439625740051,0.6082989529687096,0.7969439625740051,False
