algorithm,wins,avg_rank,avg_log
MVDO,17,1.6206896551724137,3.523561996935683
PSO,8,2.3448275862068964,3.477279002028848
SVOA,4,2.7241379310344827,3.496440558211902
EO,0,3.793103448275862,3.9504468877925505
GWO,0,4.551724137931035,4.078180606396569
AOA,0,6.206896551724138,4.393853729140988
SCA,0,6.827586206896552,4.683108674911913
WOA,0,7.931034482758621,4.910415206917229
