suite,subset,comparison,baseline,p_raw,mean_log_diff,p_holm,significant_0.05
classical,overall,MVDO vs SCA,SCA,0.004511485225521028,0.9428433788355317,0.031580396578647196,True
classical,overall,MVDO vs AOA,AOA,0.9012760680634528,2.4156992123132928,1.0,False
classical,overall,MVDO vs SVOA,SVOA,0.9628297754534287,0.4087595883136265,1.0,False
classical,overall,MVDO vs PSO,PSO,0.9992769347736612,3.549363357015537,1.0,False
classical,overall,MVDO vs WOA,WOA,0.9999972888763295,8.646262966487777,1.0,False
classical,overall,MVDO vs GWO,GWO,0.999999082821887,7.921070549872024,1.0,False
classical,overall,MVDO vs EO,EO,0.9999999844440026,9.267774253645504,1.0,False
