algorithm,wins,avg_rank,avg_log
EO,10,2.625,-7.341962011993114
WOA,21,2.8194444444444446,-6.7204507248353895
GWO,8,3.2916666666666665,-5.995258308219636
PSO,8,4.388888888888889,-1.6235511153631488
SVOA,6,5.152777777777778,1.5170526533387616
AOA,0,5.166666666666667,-0.48988697066090403
MVDO,0,5.444444444444445,1.9258122416523884
SCA,0,7.111111111111111,0.9829688628168568
