suite,subset,comparison,baseline,p_raw,mean_log_diff,p_holm,significant_0.05
cec2017,D50,MVDO vs AOA,AOA,1.862645149230957e-09,-0.998053891023247,1.30385160446167e-08,True
cec2017,D50,MVDO vs SCA,SCA,1.862645149230957e-09,-1.2170633277840752,1.30385160446167e-08,True
cec2017,D50,MVDO vs WOA,WOA,1.862645149230957e-09,-1.383106150001727,1.30385160446167e-08,True
cec2017,D50,MVDO vs GWO,GWO,8.009374141693115e-08,-0.6110538467583737,3.203749656677246e-07,True
cec2017,D50,MVDO vs EO,EO,1.0244548320770264e-07,-0.5031424525161882,3.203749656677246e-07,True
cec2017,D50,MVDO vs SVOA,SVOA,0.004296848550438881,-0.12874661396507658,0.008593697100877762,True
cec2017,D50,MVDO vs PSO,PSO,0.0060546305030584335,-0.24011395980576075,0.008593697100877762,True
