algorithm,wins,avg_rank,avg_log
PSO,3,2.0,1925.9586572164521
GWO,1,2.8,1929.6167641452564
EO,1,2.8,1957.6710549755037
SVOA,0,4.0,1938.8440493135895
MVDO,0,4.6,2014.140353415222
AOA,0,5.8,2016.6843957054439
SCA,0,6.2,2045.6187507135176
WOA,0,7.8,31561.55553471137
