algorithm,wins,avg_rank,avg_log
WOA,9,1.7307692307692308,-8.199693486862834
EO,6,2.423076923076923,-7.417396844854237
GWO,4,3.1923076923076925,-7.316673879024399
PSO,2,4.538461538461538,-1.162514429394645
AOA,0,5.0,-0.6082138809550695
MVDO,0,6.076923076923077,1.469096544625398
SVOA,1,6.423076923076923,0.11724118256397573
SCA,0,6.615384615384615,-0.38939606607896216
