algorithm,wins,avg_rank,avg_log
MVDO,6,2.1666666666666665,2.010236021408398
SVOA,3,2.4166666666666665,2.1585967472455625
PSO,3,2.5,2.056324409560966
EO,0,4.0,2.5275430231852636
GWO,0,4.333333333333333,2.588734971958925
SCA,0,6.083333333333333,3.0476501368228672
AOA,0,6.5,2.943645477295224
WOA,0,8.0,3.3537266954693865
