algorithm,wins,avg_rank,avg_log
MVDO,34,1.6724137931034482,3.783871968020299
PSO,15,2.413793103448276,3.8807874504697626
SVOA,8,2.7413793103448274,3.8346845556409472
EO,1,3.9310344827586206,4.248885639706827
GWO,0,4.293103448275862,4.366708196129929
AOA,0,6.103448275862069,4.7180447796345755
SCA,0,6.931034482758621,4.972176970900452
WOA,0,7.913793103448276,5.168851648011935
