algorithm,wins,avg_rank,avg_log
MVDO,8,2.125,1.5010464398148204
PSO,9,2.4583333333333335,0.8927474868461108
SVOA,7,2.5,1.4739110918379499
EO,0,3.875,2.121051757061536
GWO,0,4.541666666666667,2.2137750470085726
SCA,0,5.958333333333333,2.70703368691314
AOA,0,6.625,2.5884961873404166
WOA,0,7.916666666666667,2.9207606860813264
