suite,subset,comparison,baseline,p_raw,mean_log_diff,p_holm,significant_0.05
classical,fixed_dimensional,MVDO vs SCA,SCA,0.0009765625,-3.1138693055306765,0.0068359375,True
classical,fixed_dimensional,MVDO vs AOA,AOA,0.0029296875,-2.3518222426579802,0.017578125,True
classical,fixed_dimensional,MVDO vs WOA,WOA,0.052734375,-1.5195087769520055,0.263671875,False
classical,fixed_dimensional,MVDO vs GWO,GWO,0.7216796875,-0.3345154351061953,1.0,False
classical,fixed_dimensional,MVDO vs EO,EO,0.9814453125,1.7930140318673715,1.0,False
classical,fixed_dimensional,MVDO vs SVOA,SVOA,0.9951171875,4.023554769549126,1.0,False
classical,fixed_dimensional,MVDO vs PSO,PSO,1.0,4.342717379104798,1.0,False
