suite,subset,comparison,baseline,p_raw,mean_log_diff,p_holm,significant_0.05
cec2022,D10,MVDO vs AOA,AOA,0.000244140625,-1.241490039164366,0.001708984375,True
cec2022,D10,MVDO vs EO,EO,0.000244140625,-0.7227036327165658,0.001708984375,True
cec2022,D10,MVDO vs GWO,GWO,0.000244140625,-0.8469582638369771,0.001708984375,True
cec2022,D10,MVDO vs WOA,WOA,0.000244140625,-1.4959378184720225,0.001708984375,True
cec2022,D10,MVDO vs SCA,SCA,0.001220703125,-1.3745603787821687,0.003662109375,True
cec2022,D10,MVDO vs SVOA,SVOA,0.133056640625,0.20263142179090596,0.26611328125,False
cec2022,D10,MVDO vs PSO,PSO,0.88330078125,1.2626862940899874,0.88330078125,False
