algorithm,wins,avg_rank,avg_log
WOA,21,1.5576923076923077,-7.889786731459656
EO,10,2.4423076923076925,-7.476293587209056
GWO,7,2.9038461538461537,-6.429907484666382
AOA,0,4.576923076923077,0.4170271336642547
PSO,2,5.461538461538462,1.4221612493699072
MVDO,0,5.730769230769231,4.666388444043421
SVOA,1,6.326923076923077,5.647934694666525
SCA,0,7.0,2.1632709558362713
