algorithm,suite,fn_id,dim,num_runs,pop_size,max_iter,fes_per_run_nominal,mean_error,std_error,min_error,median_error,max_error,logscore,mean_fitness,std_fitness,min_fitness,median_fitness,max_fitness,elapsed_sec
MVDO,CEC2017,1,30,30,30,1000,30000,22164778.393202085,6974528.736042246,12359564.260930495,21328792.422456875,44949998.8584511,7.325919227976525,22164878.393202085,6974528.736042246,12359664.260930495,21328892.422456875,44950098.8584511,2.094146966934204
MVDO,CEC2017,3,30,30,30,1000,30000,4395.508474927471,1930.2610281865293,1557.9927618516774,4456.724226909108,8064.727050926078,3.5940266716261977,4695.508474927471,1930.2610281865293,1857.9927618516772,4756.724226909108,8364.727050926078,2.0163042545318604
MVDO,CEC2017,4,30,30,30,1000,30000,100.71772863640562,15.934092068060428,65.66223346541557,95.11952983182157,145.92596095329782,1.997673995836144,500.7177286364056,15.93409206806043,465.6622334654156,495.1195298318215,545.9259609532978,2.105768918991089
MVDO,CEC2017,5,30,30,30,1000,30000,62.07641623593901,22.710297874923256,29.433241933507247,61.44144542226502,116.7384723612438,1.7637926888203257,562.076416235939,22.710297874923256,529.4332419335072,561.441445422265,616.7384723612438,2.4772300720214844
MVDO,CEC2017,6,30,30,30,1000,30000,15.30581315445542,4.960328400364452,6.728036937630918,16.057028409825705,28.929360080535616,1.1602290895260634,615.3058131544553,4.960328400364451,606.7280369376309,616.0570284098258,628.9293600805356,2.691429853439331
MVDO,CEC2017,7,30,30,30,1000,30000,127.11102468529816,22.870419308009925,81.11975125123729,123.0241991066154,201.08778091667705,2.097480792949141,827.1110246852982,22.870419308009925,781.1197512512373,823.0241991066155,901.087780916677,2.684274196624756
MVDO,CEC2017,8,30,30,30,1000,30000,62.80471509982692,17.907838653742203,31.09678756534049,60.95418015204501,103.81388118335929,1.7798117422136397,862.8047150998269,17.907838653742203,831.0967875653405,860.954180152045,903.8138811833592,2.613011598587036
MVDO,CEC2017,9,30,30,30,1000,30000,163.94013917303195,139.48027186138842,12.375718285944458,116.86443923117452,654.2544773703576,2.0869997865582004,1063.940139173032,139.48027186138842,912.3757182859443,1016.8644392311744,1554.2544773703576,2.643532514572144
MVDO,CEC2017,10,30,30,30,1000,30000,3404.2777459176664,626.1029148803177,2289.5870472613788,3336.498370403374,4683.796254089721,3.524530191930571,4404.277745917667,626.1029148803177,3289.5870472613788,4336.498370403374,5683.796254089721,4.390422821044922
MVDO,CEC2017,11,30,30,30,1000,30000,213.46044087113984,67.03852520227811,71.81562140243818,232.4143034820212,394.4541277273963,2.304074127127085,1313.4604408711398,67.03852520227811,1171.8156214024382,1332.4143034820213,1494.4541277273963,2.4834625720977783
MVDO,CEC2017,12,30,30,30,1000,30000,186971958.3892764,139488674.41248912,48000909.28377263,137065806.2203842,571815492.7884585,8.165269579947624,186973158.3892764,139488674.41248912,48002109.28377263,137067006.2203842,571816692.7884585,2.8813717365264893
MVDO,CEC2017,13,30,30,30,1000,30000,310649.91607067094,108250.45073703496,97076.12034949772,308799.2932886461,568546.3767280468,5.463195786813312,311949.91607067094,108250.45073703496,98376.12034949772,310099.2932886461,569846.3767280468,2.5368592739105225
MVDO,CEC2017,14,30,30,30,1000,30000,15398.196435319833,25030.75418206982,852.6855022784953,6882.503767927591,126842.34408852318,3.8520468731231694,16798.19643531983,25030.75418206982,2252.6855022784957,8282.503767927592,128242.34408852318,2.6904072761535645
MVDO,CEC2017,15,30,30,30,1000,30000,115068.77594141,74925.44966810764,33346.28716923211,97231.57927069052,366672.6331523968,4.981626998007672,116568.77594141,74925.44966810764,34846.28716923211,98731.57927069052,368172.6331523968,2.426342010498047
