algorithm,suite,problem,dim,num_runs,pop_size,max_iter,fes_per_run_nominal,penalty_factor,feasibility_tol,feasible_rate,ranking_score,best_feasible_obj,mean_feasible_obj,std_feasible_obj,median_feasible_obj,mean_raw_obj,std_raw_obj,best_raw_obj,median_raw_obj,mean_penalized,std_penalized,best_penalized,median_penalized,mean_max_violation,best_max_violation,median_max_violation,elapsed_sec
MVDO,Engineering,three_bar_truss,2,30,30,1000,30000,10000000000.0,1e-06,1.0,263.8972964970473,263.89599348330563,263.8972964970473,0.0010872587428422,263.89742868806127,263.8972964970473,0.0010872587428422,263.89599348330563,263.89742868806127,263.8972992847445,0.0010844860377041,263.89599348330563,263.89742868806127,3.0483313799104886e-09,0.0,0.0,2.1625654697418213
MVDO,Engineering,tension_spring,3,30,30,1000,30000,10000000000.0,1e-06,1.0,0.0131935313669833,0.0127232515855859,0.0131935313669833,0.0009587214979586,0.0128035364561423,0.0131935313669833,0.0009587214979586,0.0127232515855859,0.0128035364561423,0.0131935313669833,0.0009587214979586,0.0127232515855859,0.0128035364561423,0.0,0.0,0.0,1.8693616390228271
MVDO,Engineering,welded_beam,4,30,30,1000,30000,10000000000.0,1e-06,1.0,1.7877414973701549,1.734537185006752,1.7877414973701549,0.0671848790139575,1.7747305453682276,1.7877414973701549,0.0671848790139575,1.734537185006752,1.7747305453682276,1.7877414973701549,0.0671848790139575,1.734537185006752,1.7747305453682276,0.0,0.0,0.0,2.366661071777344
MVDO,Engineering,pressure_vessel,4,30,30,1000,30000,10000000000.0,1e-06,1.0,6798.56122888162,6101.861732576675,6798.56122888162,691.4902717994704,6480.63311828175,6798.56122888162,691.4902717994704,6101.861732576675,6480.63311828175,6798.56122888162,691.4902717994704,6101.861732576675,6480.63311828175,0.0,0.0,0.0,2.088031530380249
MVDO,Engineering,speed_reducer,7,30,30,1000,30000,10000000000.0,1e-06,0.9,3006.442306668706,2997.400905414191,3005.8533807889926,4.51136529019187,3005.3721404305984,3006.4299245459865,4.732392845103568,2997.400905414191,3006.549045630787,3006.442306668706,4.752227048203202,2997.400905414191,3006.549045630787,3.252031861874135e-07,0.0,0.0,2.3592123985290527
PSO,Engineering,three_bar_truss,2,30,30,1000,30000,10000000000.0,1e-06,1.0,263.8961372160923,263.89584312834586,263.8961372160923,0.0005420732750697,263.8958929489497,263.8961372160923,0.0005420732750697,263.89584312834586,263.8958929489497,263.8961376595383,0.0005420687072105,263.89584356343585,263.8958933844316,6.521024120687002e-09,0.0,6.599394808404213e-09,0.7882215976715088
PSO,Engineering,tension_spring,3,30,30,1000,30000,10000000000.0,1e-06,1.0,0.012784781915701,0.0126693756415579,0.012784781915701,0.0001033868182246,0.0127645565186575,0.012784781915701,0.0001033868182246,0.0126693756415579,0.0127645565186575,0.0127847819157143,0.000103386818221,0.0126693756415702,0.0127645565186732,9.356219502857737e-13,0.0,1.177502539917441e-12,0.8839616775512695
PSO,Engineering,welded_beam,4,30,30,1000,30000,10000000000.0,1e-06,1.0,1.7249400649997884,1.7248523076881943,1.7249400649997884,0.0003053390954644,1.7248523189869591,1.7249400649997884,0.0003053390954644,1.7248523076881943,1.7248523189869591,1.724940065143301,0.0003053392731038,1.7248523077463742,1.7248523192435294,8.040514457944662e-11,0.0,6.312836364763541e-11,1.3162381649017334
PSO,Engineering,pressure_vessel,4,30,30,1000,30000,10000000000.0,1e-06,1.0,6322.438814589104,6059.712261412622,6322.438814589104,376.1906776813247,6090.524532510608,6322.438814589104,376.1906776813247,6059.712261412622,6090.524532510608,6322.43948062412,376.1904471381922,6059.713339599444,6090.525329580224,2.4151799105457764e-07,0.0,2.8232360221869257e-07,1.0524537563323977
PSO,Engineering,speed_reducer,7,30,30,1000,30000,10000000000.0,1e-06,1.0,3041.720609430149,2994.4708985823904,3041.720609430149,42.09014670967102,3033.748452987737,3041.720609430149,42.09014670967102,2994.4708985823904,3033.748452987737,3041.720649286052,42.09013157194307,2994.4709823639773,3033.748489344472,5.6151278671201514e-08,1.4172725215644276e-08,5.798017344016416e-08,1.2432169914245603
