algorithm,fn_id,dim,num_runs,pop_size,max_iter,fes_per_run,mean_error,std_error,min_error,median_error,max_error,logscore,elapsed_sec
MVDO,9,20,30,30,1000,30000,181.29808843994968,0.327039894743049,180.90432470151245,181.1952246452261,182.27646027002083,2.2583925195514976,2.185594320297241
MVDO,10,20,30,30,1000,30000,1530.4190723165266,734.5611083153314,100.5743066998898,1680.5500632707203,2653.123476467192,3.0595834370556627,2.1824429035186768
MVDO,11,20,30,30,1000,30000,328.5267270781363,67.75036742008241,16.0770367720138,320.10448403829696,402.6514303370918,2.484294023040571,2.4357972145080566
MVDO,12,20,30,30,1000,30000,256.6458233512393,20.244796042986923,235.44740501145907,248.1146768267381,316.66384315513415,2.408059267817572,2.5520219802856445
PSO,1,10,30,30,1000,30000,1.0346565583555882e-06,3.196240619390072e-06,2.2027393242751714e-09,1.549001353851054e-07,1.74801349999143e-05,-6.929912341569663,0.2991921901702881
PSO,2,10,30,30,1000,30000,28.347021834194223,31.59621577470224,0.3851109227154552,19.46166079670735,155.35370223252733,1.1941869910999812,0.2900538444519043
PSO,3,10,30,30,1000,30000,0.0407503483194129,0.218411817327995,8.833467290969566e-11,3.045539074264525e-07,1.216924765494127,-6.602462677767763,0.3113672733306885
PSO,4,10,30,30,1000,30000,15.03582712482326,6.252746413436882,3.979836228373188,14.924370742943095,29.211520452067816,1.1328881867621163,0.2711083889007568
PSO,5,10,30,30,1000,30000,0.1929993564095866,0.2741281256563951,1.1368683772161605e-13,0.089528250416663,0.9981762877114306,-4.595763670967762,0.3884828090667724
PSO,6,10,30,30,1000,30000,3200.6763702431977,2571.1591863054737,38.741456922723046,2610.8404473820456,6429.844572203634,3.203334817461882,0.5220282077789307
PSO,7,10,30,30,1000,30000,15.920153374129374,9.057584723559607,0.0030331250309245,20.22342624343105,24.043211109295044,0.8999714629094698,1.137683629989624
PSO,8,10,30,30,1000,30000,24.1677561747827,31.602058628230044,0.2017803119179007,20.662373098468606,143.24629261943255,0.9881029613547468,1.0385761260986328
PSO,9,10,30,30,1000,30000,230.9097989631097,5.005143778921329,229.2843827084871,229.2843827084871,249.405893011246,2.3633449826483086,0.902442216873169
PSO,10,10,30,30,1000,30000,152.01967341225784,57.52044893741888,100.28809528117336,104.90681125012496,230.0803167313848,2.150736467097803,0.931769609451294
PSO,11,10,30,30,1000,30000,264.5415978599937,209.6209037769428,1.6370904631912708e-11,180.00489775131177,815.3976780634789,0.6845357748317281,1.1791040897369385
PSO,12,10,30,30,1000,30000,184.2483864741243,27.980060314266165,162.4421206623183,170.9890704586719,283.5453745338709,2.261083815714221,1.284030199050903
PSO,1,20,30,30,1000,30000,2742.33051752181,4380.768381711226,305.9527530101868,736.3940085308868,16767.91582255088,3.060096587789116,0.2973701953887939
PSO,2,20,30,30,1000,30000,87.07120530226729,105.10767904005588,32.26479492593137,54.35840843887465,614.0250316884333,1.8298056908175968,0.2921512126922607
PSO,3,20,30,30,1000,30000,1.6608158660106445,1.6920766355608006,0.0067314869547772,1.1117236919330935,6.359669112501933,-0.1314595874065161,0.3130266666412353
PSO,4,20,30,30,1000,30000,44.5452963882958,17.263806706567067,20.89418425231884,42.17787636930643,95.07509359551273,1.6212772314574058,0.2733595371246338
PSO,5,20,30,30,1000,30000,69.53875907618034,134.95545192742318,1.35668213608119,12.58642654020241,493.37373716160096,1.2857940177229,0.3896770477294922
PSO,6,20,30,30,1000,30000,1083631.0698020556,5260984.512638285,155.7748689868174,3779.5984437895554,29345078.771066383,3.73837739573735,0.5246138572692871
PSO,7,20,30,30,1000,30000,56.68563391529678,40.011198030297145,24.19057166892708,45.86792602534342,183.5719457850014,1.6865546485095015,1.1409854888916016
PSO,8,20,30,30,1000,30000,79.51897676449434,70.90280454383581,21.546222234806464,41.02653396301798,266.7661697783092,1.7428482956224256,1.0322928428649902
PSO,9,20,30,30,1000,30000,209.73482450750492,42.67631404297794,180.8036848228703,195.60822983282696,387.299398048614,2.314658111358517,0.9137651920318604
PSO,10,20,30,30,1000,30000,482.5887310661401,415.4549744280925,100.6162879705189,271.8588160700126,1583.0793777387105,2.4987756286212925,0.9383955001831056
PSO,11,20,30,30,1000,30000,1002.1699111256946,689.5735927767346,0.0002634595384733,890.7755982724141,3126.6633960959152,2.535878222810538,1.2511868476867676
PSO,12,20,30,30,1000,30000,313.8894842572577,41.2323511801358,247.95331713245423,301.22802214437115,449.100310385878,2.493286671691461,1.3094420433044434
GWO,1,10,30,30,1000,30000,2547.611872207972,2129.1359311615743,61.82172993266812,2673.312236918954,7373.228803941205,3.075845013776512,0.7324025630950928
GWO,2,10,30,30,1000,30000,31.38353298886556,24.22373767696517,3.2882425497223835,20.067541767757177,76.27322354641115,1.3216497575323902,0.7203187942504883
GWO,3,10,30,30,1000,30000,4.282103060828316,4.493318692946574,0.0296310031319535,2.7864609005305283,22.285747599771756,0.3452733490048236,0.7352135181427002
GWO,4,10,30,30,1000,30000,18.930602132780823,9.071091153131423,5.1218258606105564,17.35522453312393,45.29577081438083,1.2271718543920074,0.70176100730896
GWO,5,10,30,30,1000,30000,22.95175832921988,44.08508689971195,0.082833508782528,14.759488196381652,245.1474506643708,0.7138127417494123,0.8214235305786133
GWO,6,10,30,30,1000,30000,3967.929953407064,2268.5096826437552,176.72368351268074,3503.629442435841,6489.171129896082,3.456530902061321,0.9660708904266356
GWO,7,10,30,30,1000,30000,38.15648865478578,16.216093069543234,10.29831498220392,34.16034796771419,79.22261439513431,1.5369501791525293,1.6241159439086914
GWO,8,10,30,30,1000,30000,29.5327340417579,21.666403764056568,19.95999871698632,25.73720353086196,145.46371452762924,1.4303108994153015,1.5227272510528564
GWO,9,10,30,30,1000,30000,282.1186857910188,40.278002845304165,229.2883133192936,271.9393640917731,376.23380941844334,2.4461300447843213,1.3884904384613037
GWO,10,10,30,30,1000,30000,156.3517954096909,80.41146959763604,100.2290997910486,100.5478726875524,460.5647707033922,2.1488890530172715,1.4008407592773438
GWO,11,10,30,30,1000,30000,270.79418129692885,211.76400591963227,1.067512014399199,132.1021930934121,650.8505946147229,2.136933420425099,1.6603219509124756
