algorithm,suite,fn_id,dim,num_runs,pop_size,max_iter,fes_per_run_nominal,mean_error,std_error,min_error,median_error,max_error,logscore,mean_fitness,std_fitness,min_fitness,median_fitness,max_fitness,elapsed_sec
MVDO,Classical,1,30,30,30,1000,30000,1.3646239055182374,0.4223467737240104,0.7643365144111384,1.1821303408822046,2.041402726359222,0.1138611004629393,1.3646239055182374,0.4223467737240104,0.7643365144111384,1.1821303408822046,2.041402726359222,1.5238535404205322
MVDO,Classical,2,30,30,30,1000,30000,1343939683252611.8,4212064890002987.0,213.1895198353152,2949374.1372543,1.85243388762686e+16,7.08263317206872,1343939683252611.8,4212064890002987.0,213.1895198353152,2949374.1372543,1.85243388762686e+16,1.382430076599121
MVDO,Classical,3,30,30,30,1000,30000,168.9169301864521,45.74250838577196,76.80458617923239,164.7080341066909,295.7752197525106,2.210539133030047,168.9169301864521,45.74250838577196,76.80458617923239,164.7080341066909,295.7752197525106,1.378268480300903
MVDO,Classical,4,30,30,30,1000,30000,1.7648300019312937,0.7143788866689398,0.9755430364519136,1.48251965185356,4.196706657728753,0.2182517739075913,1.7648300019312937,0.7143788866689398,0.9755430364519136,1.48251965185356,4.196706657728753,1.3722138404846191
MVDO,Classical,5,30,30,30,1000,30000,5356.929809595558,8271.171919089404,206.0818392946078,1314.5987660546898,28368.21644025335,3.270453793374464,5356.929809595558,8271.171919089404,206.0818392946078,1314.5987660546898,28368.21644025335,1.4126183986663818
MVDO,Classical,6,30,30,30,1000,30000,7.933333333333334,3.696244340167763,1.0,7.0,18.0,0.8411828519176224,7.933333333333334,3.696244340167763,1.0,7.0,18.0,1.3776803016662598
MVDO,Classical,7,30,30,30,1000,30000,7.266571716821706,5.846310739710316,1.5463991964673196,6.108479638630149,29.152503203598595,0.745177826691693,7.266571716821706,5.846310739710316,1.5463991964673196,6.108479638630149,29.152503203598595,1.378221035003662
MVDO,Classical,8,30,30,30,1000,30000,4334.643241421666,783.2946648045636,2709.9764765391537,4400.6549768660525,5969.145503718578,3.629366895928774,-8234.843758578332,783.2946648045635,-9859.510523460844,-8168.832023133947,-6600.341496281421,1.3956549167633057
MVDO,Classical,9,30,30,30,1000,30000,57.27704814342157,16.32648222353808,25.800822092926683,54.41859687107045,87.2208034470799,1.738768514352392,57.27704814342157,16.32648222353808,25.800822092926683,54.41859687107045,87.2208034470799,1.3795506954193115
MVDO,Classical,10,30,30,30,1000,30000,1.7391888411114609,0.4608191260040064,0.5009544039762983,1.8012217567492628,2.6016774915806,0.2209824963955181,1.7391888411114609,0.4608191260040064,0.5009544039762983,1.8012217567492628,2.6016774915806,1.442549228668213
MVDO,Classical,11,30,30,30,1000,30000,0.8471198219186957,0.0843637720784753,0.6225082960497061,0.8468054639266894,1.001100609957565,-0.0743169509355317,0.8471198219186957,0.0843637720784753,0.6225082960497061,0.8468054639266894,1.001100609957565,1.4211525917053225
MVDO,Classical,12,30,30,30,1000,30000,1.1640081587559337,0.8094207733127133,0.0970419692487104,1.030571435890587,3.1077808800393854,-0.0839258339080602,1.1640081587559337,0.8094207733127133,0.0970419692487104,1.030571435890587,3.1077808800393854,1.5893051624298096
MVDO,Classical,13,30,30,30,1000,30000,0.1709186297714471,0.0877371600306688,0.0579838343774514,0.143315216492405,0.453690566476644,-0.8147196931559927,0.1709186297714471,0.0877371600306688,0.0579838343774514,0.143315216492405,0.453690566476644,1.5886788368225098
MVDO,Classical,1,100,30,30,1000,30000,177.3602229235542,25.547754096380206,115.9133931882082,175.27581908713472,230.8345825398199,2.2441456946003764,177.3602229235542,25.547754096380206,115.9133931882082,175.27581908713472,230.8345825398199,1.359225511550903
MVDO,Classical,2,100,30,30,1000,30000,5.4640728374084525e+82,2.862539268548348e+83,3.908948571427964e+54,4.242227768542079e+69,1.595909219987048e+84,69.86095488688746,5.4640728374084525e+82,2.862539268548348e+83,3.908948571427964e+54,4.242227768542079e+69,1.595909219987048e+84,1.3809938430786133
MVDO,Classical,3,100,30,30,1000,30000,39502.29616940902,9991.721042504738,23886.35781420702,39128.22568089793,60674.84779806552,4.582537170823559,39502.29616940902,9991.721042504738,23886.35781420702,39128.22568089793,60674.84779806552,1.3772859573364258
MVDO,Classical,4,100,30,30,1000,30000,19.78777119404812,2.391345809995022,15.348795563943288,19.50844516515414,26.032294570638964,1.293217925012517,19.78777119404812,2.391345809995022,15.348795563943288,19.50844516515414,26.032294570638964,1.374875783920288
MVDO,Classical,5,100,30,30,1000,30000,314718.215670792,162461.38070344154,102247.31673230688,281899.55746517435,791303.6575181874,5.442732861231949,314718.215670792,162461.38070344154,102247.31673230688,281899.55746517435,791303.6575181874,1.4137582778930664
MVDO,Classical,6,100,30,30,1000,30000,347.6,79.87890835508458,215.0,330.0,622.0,2.530764766756448,347.6,79.87890835508458,215.0,330.0,622.0,1.3828620910644531
MVDO,Classical,7,100,30,30,1000,30000,144681.43134917732,55565.93369394346,73271.11443438847,126695.39206939012,309053.666296626,5.130861432792012,144681.43134917732,55565.93369394346,73271.11443438847,126695.39206939012,309053.666296626,1.380061388015747
MVDO,Classical,8,100,30,30,1000,30000,17145.447553566522,1429.4786066990664,14346.996525699184,17145.342936528687,20964.62242107508,4.23265866809638,-24752.84244643348,1429.4786066990664,-27551.293474300808,-24752.947063471307,-20933.667578924917,1.393263578414917
MVDO,Classical,9,100,30,30,1000,30000,300.62948006120365,48.634260078570975,216.6736179287262,290.62852226338225,422.35308513662216,2.472486467498726,300.62948006120365,48.634260078570975,216.6736179287262,290.62852226338225,422.35308513662216,1.3847432136535645
MVDO,Classical,10,100,30,30,1000,30000,4.998306971067192,0.557710150026056,4.140668756194245,5.031763757446296,6.218549644940921,0.6961630347120402,4.998306971067192,0.557710150026056,4.140668756194245,5.031763757446296,6.218549644940921,1.453718900680542
MVDO,Classical,11,100,30,30,1000,30000,2.610054226697992,0.2477928238421725,1.9832197602880708,2.5909501837201097,3.141236363024998,0.4146416689135389,2.610054226697992,0.2477928238421725,1.9832197602880708,2.5909501837201097,3.141236363024998,1.4253973960876465
MVDO,Classical,12,100,30,30,1000,30000,15.08571712409036,3.259869774775189,9.970625492040584,14.491160612291257,23.734821011992544,1.1686922247562856,15.08571712409036,3.259869774775189,9.970625492040584,14.491160612291257,23.734821011992544,1.5961079597473145
MVDO,Classical,13,100,30,30,1000,30000,145.39978446032973,21.530845771697205,111.52763912279444,142.82359720345636,205.33686276497505,2.157987662917489,145.39978446032973,21.530845771697205,111.52763912279444,142.82359720345636,205.33686276497505,1.5982599258422852
MVDO,Classical,14,2,30,30,1000,30000,8.578908546515624e-10,1.1688113821144767e-09,1.5851764345597985e-12,5.167748451384567e-10,6.075763114843369e-09,-9.36247028899728,0.99800383865234,1.1688113821144767e-09,0.9980038377960342,0.998003838311224,0.998003843870212,1.514343500137329
MVDO,Classical,15,4,30,30,1000,30000,0.0003233019016506,0.0002261626295694,3.304597457814756e-06,0.0003958502098959,0.0010510147058723,-3.728879532788192,0.0006307879016506,0.0002261626295694,0.0003107905974578,0.0007033362098959,0.0013585007058723,1.5019655227661133
MVDO,Classical,16,2,30,30,1000,30000,3.792599119941305e-07,5.023797790023184e-07,3.429976769275811e-08,2.211396823437184e-07,2.674383223766341e-06,-6.64523547109947,-1.031628074229965,5.023797790023185e-07,-1.0316284191901093,-1.0316282323501946,-1.0316257791066532,1.4430873394012451
MVDO,Classical,17,2,30,30,1000,30000,2.80617713777076e-07,2.658149131550058e-07,4.6045052215504265e-09,1.93707054840786e-07,1.001103584030716e-06,-6.830275803970484,0.3978876383474519,2.658149131550058e-07,0.3978873623342434,0.397887551436793,0.3978883588333222,1.433593511581421
MVDO,Classical,18,2,30,30,1000,30000,2.6583478521432133e-06,3.2267428253932145e-06,2.009456956386657e-08,1.1854739825345462e-06,1.2911029144468957e-05,-5.91936581605121,3.000002658347852,3.226742825393215e-06,3.0000000200945696,3.0000011854739825,3.0000129110291445,1.6537489891052246
MVDO,Classical,19,3,30,30,1000,30000,2.208253388147341e-07,4.697183847526788e-07,4.9887201036824536e-09,7.030024673504442e-08,2.6206943939399707e-06,-7.033941775890489,-3.8627795661239976,4.697183847526788e-07,-3.862779781960616,-3.86277971664909,-3.862777166254943,1.4925835132598877
MVDO,Classical,20,6,30,30,1000,30000,0.0556632379755283,0.0595054383272147,2.128696086067805e-07,2.1770943081644845e-06,0.1195787621457316,-3.666570153678692,-3.266704773439987,0.0595054383272147,-3.3223677985459066,-3.3223658343212072,-3.202789249269784,1.4951958656311035
MVDO,Classical,21,4,30,30,1000,30000,1.6820007237108494,2.629717631251688,1.61149847297537e-05,0.0001089931360418,7.522746397095438,-2.655685917914726,-8.47119895534735,2.629717631251688,-10.153183564073473,-10.15309068592216,-2.630453281962762,1.4747068881988523
MVDO,Classical,22,4,30,30,1000,30000,1.194144667300739,2.697746691984204,1.3506785574435298e-05,8.13013907992044e-05,7.637050302596794,-3.345665439092948,-9.20879589951796,2.697746691984204,-10.402927060033123,-10.4028592654279,-2.765890264221905,1.474569320678711
MVDO,Classical,23,4,30,30,1000,30000,1.9111681932239435,3.2141992459405304,1.7002546826461185e-05,9.409018354844534e-05,8.109080564344092,-2.808768646159477,-8.625241623468058,3.2141992459405304,-10.536392814145174,-10.536315726508452,-2.427329252347908,1.475409984588623
PSO,Classical,1,30,30,30,1000,30000,0.0002661379449577,0.0002538034076099,1.4050403533346349e-05,0.0001667139601284,0.0009139774169679,-3.805522714354221,0.0002661379449577,0.0002538034076099,1.4050403533346349e-05,0.0001667139601284,0.0009139774169679,0.2111332416534423
PSO,Classical,2,30,30,30,1000,30000,116.71848328990038,96.87855570793931,0.004370434210514,100.03404396307312,300.15180039148976,1.259455562210835,116.71848328990038,96.87855570793931,0.004370434210514,100.03404396307312,300.15180039148976,0.2242560386657714
PSO,Classical,3,30,30,30,1000,30000,1661.3096675205347,1802.245537259478,319.6465939266817,887.2108981697422,5766.973626571684,3.04392322754608,1661.3096675205347,1802.245537259478,319.6465939266817,887.2108981697422,5766.973626571684,0.2164714336395263
